name;color;cmc;type;subtype;set;rarity;text;power;toughness;price_usd;price_eur;price_usd_foil;year
Novice Knight;W;1;Creature;Human Knight;m19;uncommon;"Defender (This creature can't attack.)
As long as Novice Knight is enchanted or equipped, it can attack as though it didn't have defender.";2;3;0.15;0.06;0.46;2018
Fallen Askari;B;2;Creature;Human Knight;vis;common;"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)
Fallen Askari can't block.";2;2;0.13;0.02;;1997
Afflict;B;3;Instant;;ody;common;"Target creature gets -1/-1 until end of turn.
Draw a card.";;;0.09;0.03;0.25;2001
Invisible Stalker;U;2;Creature;Human Rogue;isd;uncommon;"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Invisible Stalker can't be blocked.";1;1;1.23;1.46;5.94;2011
Shahrazad;W;2;Sorcery;;arn;rare;Players play a Magic subgame, using their libraries as their decks. Each player who doesn't win the subgame loses half their life, rounded up.;;;241.82;239.0;;1993
Destructive Tampering;R;3;Sorcery;;aer;common;"Choose one —
• Destroy target artifact.
• Creatures without flying can't block this turn.";;;0.05;0.09;0.10;2017
Nocturnal Raid;B;4;Instant;;mir;uncommon;Black creatures get +2/+0 until end of turn.;;;0.14;0.04;;1996
Flensermite;B;2;Creature;Gremlin;mbs;common;"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)";1;1;0.26;0.09;1.53;2011
Gate Smasher;;3;Artifact;Equipment;dtk;uncommon;"Gate Smasher can be attached only to a creature with toughness 4 or greater.
Equipped creature gets +3/+0 and has trample.
Equip {3}";;;0.11;0.02;0.14;2015
World Breaker;G;7;Creature;Eldrazi;ogw;mythic;"Devoid (This card has no color.)
When you cast this spell, exile target artifact, enchantment, or land.
Reach
{2}{C}, Sacrifice a land: Return World Breaker from your graveyard to your hand. ({C} represents colorless mana.)";5;7;2.71;3.32;9.51;2016
Coral Eel;U;2;Creature;Fish;9ed;common;;2;1;0.25;0.2;;2005
Bubbling Beebles;U;5;Creature;Beeble;uds;common;Bubbling Beebles can't be blocked as long as defending player controls an enchantment.;3;3;0.11;0.02;2.79;1999
Unholy Strength;B;1;Enchantment;Aura;7ed;common;"Enchant creature
Enchanted creature gets +2/+1.";;;0.14;0.02;1.99;2001
Mwonvuli Beast Tracker;G;3;Creature;Human Scout;m13;uncommon;When Mwonvuli Beast Tracker enters the battlefield, search your library for a creature card with deathtouch, hexproof, reach, or trample and reveal it. Shuffle your library and put that card on top of it.;2;1;0.24;0.18;0.37;2012
Shock;R;1;Instant;;aer;common;Shock deals 2 damage to any target.;;;0.05;0.06;0.48;2017
Walk the Plank;B;2;Sorcery;;xln;uncommon;Destroy target non-Merfolk creature.;;;0.13;0.3;0.42;2017
Kor Entanglers;W;5;Creature;Kor Soldier Ally;bfz;uncommon;Rally — Whenever Kor Entanglers or another Ally enters the battlefield under your control, tap target creature an opponent controls.;3;4;0.07;0.06;0.24;2015
Celestial Kirin;W;4;Legendary Creature;Kirin Spirit;sok;rare;"Flying
Whenever you cast a Spirit or Arcane spell, destroy all permanents with that spell's converted mana cost.";3;3;1.3;3.0;14.67;2005
Ornithopter;;0;Artifact Creature;Thopter;5ed;uncommon;Flying;0;2;0.31;0.3;;1997
Festering Goblin;B;1;Creature;Zombie Goblin;9ed;common;When Festering Goblin dies, target creature gets -1/-1 until end of turn.;1;1;0.12;0.2;;2005
Initiate's Companion;G;2;Creature;Cat;akh;common;Whenever Initiate's Companion deals combat damage to a player, untap target creature or land.;3;1;0.07;0.11;0.29;2017
Tsabo's Assassin;B;4;Creature;Zombie Assassin;inv;rare;{T}: Destroy target creature if it shares a color with the most common color among all permanents or a color tied for most common. A creature destroyed this way can't be regenerated.;1;1;0.31;0.5;0.85;2000
Jasmine Boreal;GW;5;Legendary Creature;Human;tsb;rare;;4;5;0.31;0.2;9.11;2006
Psychic Venom;U;2;Enchantment;Aura;5ed;common;"Enchant land
Whenever enchanted land becomes tapped, Psychic Venom deals 2 damage to that land's controller.";;;0.11;0.02;;1997
Fire Elemental;R;5;Creature;Elemental;4bb;uncommon;;5;4;3.88;;;1995
Ancient Spring;BUW;0;Land;;inv;common;"Ancient Spring enters the battlefield tapped.
{T}: Add {U}.
{T}, Sacrifice Ancient Spring: Add {W}{B}.";;;0.15;0.03;2.08;2000
Belbe's Armor;;3;Artifact;;nem;uncommon;{X}, {T}: Target creature gets -X/+X until end of turn.;;;0.23;0.07;1.33;2000
Slinking Skirge;B;4;Creature;Imp;uds;common;"Flying
{2}, Sacrifice Slinking Skirge: Draw a card.";2;1;0.13;0.02;0.66;1999
Grim Captain's Call;B;3;Sorcery;;xln;uncommon;Return a Pirate card from your graveyard to your hand, then do the same for Vampire, Dinosaur, and Merfolk.;;;0.08;0.14;0.12;2017
Enchanted Carriage;;5;Artifact;Vehicle;eld;uncommon;"When Enchanted Carriage enters the battlefield, create two 1/1 white Mouse creature tokens.
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)";4;4;0.05;0.11;0.21;2019
Floodbringer;U;2;Creature;Moonfolk Wizard;bok;common;"Flying
{2}, Return a land you control to its owner's hand: Tap target land.";1;2;0.19;0.12;1.57;2005
Phyresis;B;2;Enchantment;Aura;mbs;common;"Enchant creature
Enchanted creature has infect. (It deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)";;;0.45;0.39;3.77;2011
Banewhip Punisher;B;3;Creature;Human Warrior;hou;uncommon;"When Banewhip Punisher enters the battlefield, you may put a -1/-1 counter on target creature.
{B}, Sacrifice Banewhip Punisher: Destroy target creature that has a -1/-1 counter on it.";2;2;0.13;0.08;0.47;2017
Mountain;R;0;Basic Land;Mountain;2ed;common;({T}: Add {R}.);;;1.85;2.38;;1993
Rite of the Serpent;B;6;Sorcery;;ktk;common;Destroy target creature. If that creature had a +1/+1 counter on it, create a 1/1 green Snake creature token.;;;0.07;0.03;0.23;2014
Skullmane Baku;B;5;Creature;Spirit;bok;common;"Whenever you cast a Spirit or Arcane spell, you may put a ki counter on Skullmane Baku.
{1}, {T}, Remove X ki counters from Skullmane Baku: Target creature gets -X/-X until end of turn.";2;1;0.1;0.02;0.45;2005
Infected Vermin;B;3;Creature;Rat;ody;uncommon;"{2}{B}: Infected Vermin deals 1 damage to each creature and each player.
Threshold — {3}{B}: Infected Vermin deals 3 damage to each creature and each player. Activate this ability only if seven or more cards are in your graveyard.";1;1;0.27;0.2;0.52;2001
Murderous Betrayal;B;3;Enchantment;;8ed;rare;{B}{B}, Pay half your life, rounded up: Destroy target nonblack creature. It can't be regenerated.;;;0.44;0.1;0.88;2003
Raise Dead;B;1;Sorcery;;leb;common;Return target creature card from your graveyard to your hand.;;;8.42;2.5;;1993
Saprazzan Skerry;U;0;Land;;mmq;common;"Saprazzan Skerry enters the battlefield tapped with two depletion counters on it.
{T}, Remove a depletion counter from Saprazzan Skerry: Add {U}{U}. If there are no depletion counters on Saprazzan Skerry, sacrifice it.";;;0.35;0.33;22.24;1999
Sphinx Summoner;BU;5;Artifact Creature;Sphinx;con;rare;"Flying
When Sphinx Summoner enters the battlefield, you may search your library for an artifact creature card, reveal it, and put it into your hand. If you do, shuffle your library.";3;3;0.7;0.15;1.80;2009
Worship;W;4;Enchantment;;8ed;rare;If you control a creature, damage that would reduce your life total to less than 1 reduces it to 1 instead.;;;4.38;0.4;19.94;2003
Duress;B;1;Sorcery;;xln;common;Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.;;;0.04;0.01;0.62;2017
Flame Slash;R;1;Sorcery;;roe;common;Flame Slash deals 4 damage to target creature.;;;0.27;0.49;4.97;2010
Touch of the Void;R;3;Sorcery;;bfz;common;"Devoid (This card has no color.)
Touch of the Void deals 3 damage to any target. If a creature dealt damage this way would die this turn, exile it instead.";;;0.07;0.02;0.26;2015
Lightning Shrieker;R;5;Creature;Dragon;frf;common;"Flying, trample, haste
At the beginning of the end step, Lightning Shrieker's owner shuffles it into their library.";5;5;0.13;0.05;0.32;2015
Diamond Faerie;GUW;5;Snow Creature;Faerie;csp;rare;"Flying
{1}{S}: Snow creatures you control get +1/+1 until end of turn. ({S} can be paid with one mana from a snow permanent.)";3;3;0.36;0.11;2.76;2006
Cyclopean Tomb;;4;Artifact;;leb;rare;"{2}, {T}: Put a mire counter on target non-Swamp land. That land is a Swamp for as long as it has a mire counter on it. Activate this ability only during your upkeep.
When Cyclopean Tomb is put into a graveyard from the battlefield, at the beginning of each of your upkeeps for the rest of the game, remove all mire counters from a land that a mire counter was put onto with Cyclopean Tomb but that a mire counter has not been removed from with Cyclopean Tomb.";;;349.99;224.99;;1993
Deadly Alliance;B;5;Instant;;znr;common;"This spell costs {1} less to cast for each creature in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)
Destroy target creature or planeswalker.";;;0.01;0.02;0.07;2020
Deep-Sea Terror;U;6;Creature;Serpent;ori;common;Deep-Sea Terror can't attack unless there are seven or more cards in your graveyard.;6;6;0.12;0.05;0.15;2015
Steamflogger Boss;R;4;Creature;Goblin Rigger;fut;rare;"Other Riggers you control get +1/+0 and have haste.
If a Rigger you control would assemble a Contraption, it assembles two Contraptions instead.";3;3;0.56;0.25;5.70;2007
Refresh;G;3;Instant;;ody;common;"Regenerate target creature.
Draw a card.";;;0.13;0.01;0.30;2001
Spurnmage Advocate;W;1;Creature;Human Nomad;jud;uncommon;{T}: Return two target cards from an opponent's graveyard to their hand. Destroy target attacking creature.;1;1;0.15;0.25;0.35;2002
Consuming Vapors;B;4;Sorcery;;roe;rare;"Target player sacrifices a creature. You gain life equal to that creature's toughness.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)";;;0.45;0.09;1.23;2010
Spell Blast;U;1;Instant;;4ed;common;Counter target spell with converted mana cost X. (For example, if that spell's mana cost is {3}{U}{U}, X is 5.);;;0.1;0.02;;1995
Pelakka Wurm;G;7;Creature;Wurm;m19;rare;"Trample
When Pelakka Wurm enters the battlefield, you gain 7 life.
When Pelakka Wurm dies, draw a card.";7;7;0.12;0.08;0.39;2018
Twinblade Slasher;G;1;Creature;Elf Warrior;eve;uncommon;"Wither (This deals damage to creatures in the form of -1/-1 counters.)
{1}{G}: Twinblade Slasher gets +2/+2 until end of turn. Activate this ability only once each turn.";1;1;0.3;0.1;1.29;2008
Gemrazer;G;4;Creature;Beast;iko;rare;"Mutate {1}{G}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Reach, trample
Whenever this creature mutates, destroy target artifact or enchantment an opponent controls.";4;4;1.72;1.39;1.93;2020
Manabarbs;R;4;Enchantment;;10e;rare;Whenever a player taps a land for mana, Manabarbs deals 1 damage to that player.;;;0.76;0.1;3.01;2007
Inventor's Goggles;;1;Artifact;Equipment;kld;common;"Equipped creature gets +1/+2.
Whenever an Artificer enters the battlefield under your control, you may attach Inventor's Goggles to it.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)";;;0.04;0.02;0.15;2016
Blockbuster;R;5;Enchantment;;rav;uncommon;{1}{R}, Sacrifice Blockbuster: It deals 3 damage to each tapped creature and each player.;;;0.05;0.02;;2005
Nature's Lore;G;2;Sorcery;;5ed;common;Search your library for a Forest card and put that card onto the battlefield. Then shuffle your library.;;;3.63;2.39;;1997
Colossus of Sardia;;9;Artifact Creature;Golem;10e;rare;"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Colossus of Sardia doesn't untap during your untap step.
{9}: Untap Colossus of Sardia. Activate this ability only during your upkeep.";9;9;;;1.49;2007
Mercadian Atlas;;5;Artifact;;mmq;rare;At the beginning of your end step, if you didn't play a land this turn, you may draw a card.;;;0.49;0.1;6.69;1999
Thermokarst;G;3;Sorcery;;ice;uncommon;Destroy target land. If that land was a snow land, you gain 1 life.;;;0.52;0.3;;1995
Disintegrate;R;1;Sorcery;;sum;common;Disintegrate deals X damage to any target. If it's a creature, it can't be regenerated this turn, and if it would die this turn, exile it instead.;;;;220.0;;1994
Telepathy;U;1;Enchantment;;7ed;uncommon;Your opponents play with their hands revealed.;;;0.54;0.19;21.90;2001
Rescuer Sphinx;U;4;Creature;Sphinx;war;uncommon;"Flying
As Rescuer Sphinx enters the battlefield, you may return a nonland permanent you control to its owner's hand. If you do, Rescuer Sphinx enters the battlefield with a +1/+1 counter on it.";3;2;0.02;0.02;0.24;2019
Elvish Healer;W;3;Creature;Elf Cleric;ice;common;{T}: Prevent the next 1 damage that would be dealt to any target this turn. If it's a green creature, prevent the next 2 damage instead.;1;2;0.1;0.02;;1995
Mirror Gallery;;5;Artifact;;bok;rare;"The ""legend rule"" doesn't apply.";;;19.81;5.55;32.07;2005
Loxodon Convert;W;4;Creature;Elephant Soldier;nph;common;;4;2;0.09;0.02;0.19;2011
Dread Specter;B;4;Creature;Specter;mir;uncommon;Whenever Dread Specter blocks or becomes blocked by a nonblack creature, destroy that creature at end of combat.;2;2;0.17;0.05;;1996
Fleshformer;BGRUW;3;Creature;Human Wizard;con;uncommon;{W}{U}{B}{R}{G}: Fleshformer gets +2/+2 and gains fear until end of turn. Target creature gets -2/-2 until end of turn. Activate this ability only during your turn. (A creature with fear can't be blocked except by artifact creatures and/or black creatures.);2;2;0.11;0.01;0.28;2009
Orazca Frillback;G;3;Creature;Dinosaur;rix;common;;4;2;0.06;0.02;0.22;2018
Contagion;B;5;Instant;;all;uncommon;"You may pay 1 life and exile a black card from your hand rather than pay this spell's mana cost.
Distribute two -2/-1 counters among one or two target creatures.";;;0.37;0.15;;1996
Crystal Rod;;1;Artifact;;2ed;uncommon;Whenever a player casts a blue spell, you may pay {1}. If you do, you gain 1 life.;;;1.16;0.84;;1993
Ghor-Clan Bloodscale;GR;4;Creature;Viashino Warrior;gpt;uncommon;"First strike
{3}{G}: Ghor-Clan Bloodscale gets +2/+2 until end of turn. Activate this ability only once each turn.";2;1;0.09;0.02;0.13;2006
Liliana of the Dark Realms;B;4;Legendary Planeswalker;Liliana;m14;mythic;"+1: Search your library for a Swamp card, reveal it, and put it into your hand. Then shuffle your library.
−3: Target creature gets +X/+X or -X/-X until end of turn, where X is the number of Swamps you control.
−6: You get an emblem with ""Swamps you control have '{T}: Add {B}{B}{B}{B}.'""";;;16.65;5.0;39.32;2013
Ur-Golem's Eye;;4;Artifact;;dst;common;{T}: Add {C}{C}.;;;0.4;0.12;2.26;2004
Ghost Ship;U;4;Creature;Spirit;4bb;uncommon;"Flying
{U}{U}{U}: Regenerate Ghost Ship.";2;4;;;;1995
Siren's Call;U;1;Instant;;leb;uncommon;"Cast this spell only during an opponent's turn, before attackers are declared.
Creatures the active player controls attack this turn if able.
At the beginning of the next end step, destroy all non-Wall creatures that player controls that didn't attack this turn. Ignore this effect for each creature the player didn't control continuously since the beginning of the turn.";;;12.81;10.0;;1993
Lightning Elemental;R;4;Creature;Elemental;8ed;common;Haste (This creature can attack and {T} as soon as it comes under your control.);4;1;0.13;0.02;;2003
Mindslaver;;6;Legendary Artifact;;som;mythic;{4}, {T}, Sacrifice Mindslaver: You control target player during that player's next turn. (You see all cards that player could see and make all decisions for the player.);;;4.34;2.4;10.86;2010
Staunch Defenders;W;5;Creature;Human Soldier;6ed;uncommon;When Staunch Defenders enters the battlefield, you gain 4 life.;3;4;0.1;0.1;;1999
Tormented Angel;W;4;Creature;Angel;uds;common;Flying;1;5;0.14;0.1;4.14;1999
Cogworker's Puzzleknot;W;2;Artifact;;kld;common;"When Cogworker's Puzzleknot enters the battlefield, create a 1/1 colorless Servo artifact creature token.
{1}{W}, Sacrifice Cogworker's Puzzleknot: Create a 1/1 colorless Servo artifact creature token.";;;0.03;0.02;0.15;2016
Quest for the Holy Relic;W;1;Enchantment;;zen;uncommon;"Whenever you cast a creature spell, you may put a quest counter on Quest for the Holy Relic.
Remove five quest counters from Quest for the Holy Relic and sacrifice it: Search your library for an Equipment card, put it onto the battlefield, and attach it to a creature you control. Then shuffle your library.";;;0.21;0.25;1.43;2009
Tolarian Scholar;U;3;Creature;Human Wizard;dom;common;;2;3;0.02;0.02;0.11;2018
Stormscale Anarch;R;4;Creature;Viashino Shaman;dis;rare;{2}{R}, Discard a card at random: Stormscale Anarch deals 2 damage to any target. If the discarded card was multicolored, Stormscale Anarch deals 4 damage instead.;2;2;0.15;0.11;0.15;2006
Drifting Shade;B;4;Creature;Shade;m12;common;"Flying
{B}: Drifting Shade gets +1/+1 until end of turn.";1;1;0.1;0.05;0.14;2011
Fiery Hellhound;R;3;Creature;Elemental Dog;m11;common;{R}: Fiery Hellhound gets +1/+0 until end of turn.;2;2;0.05;0.01;0.27;2010
Gorger Wurm;GR;5;Creature;Wurm;arb;common;Devour 1 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with that many +1/+1 counters on it.);5;5;0.11;0.1;0.25;2009
Goblin Lore;R;2;Sorcery;;10e;uncommon;Draw four cards, then discard three cards at random.;;;2.17;2.76;13.35;2007
Lava Serpent;R;6;Creature;Elemental Serpent;iko;common;"Haste
Cycling {2} ({2}, Discard this card: Draw a card.)";5;5;0.02;0.01;0.07;2020
Skarrg Guildmage;GR;2;Creature;Human Shaman;gtc;uncommon;"{R}{G}: Creatures you control gain trample until end of turn.
{1}{R}{G}: Target land you control becomes a 4/4 Elemental creature until end of turn. It's still a land.";2;2;0.1;0.1;0.30;2013
Petals of Insight;U;5;Sorcery;Arcane;chk;uncommon;Look at the top three cards of your library. You may put those cards on the bottom of your library in any order. If you do, return Petals of Insight to its owner's hand. Otherwise, draw three cards.;;;0.11;0.05;0.96;2004
Faerie Noble;G;3;Creature;Faerie Noble;hml;rare;"Flying
Other Faerie creatures you control get +0/+1.
{T}: Other Faerie creatures you control get +1/+0 until end of turn.";1;2;0.97;0.5;;1995
Temple of Epiphany;RU;0;Land;;m20;rare;"Temple of Epiphany enters the battlefield tapped.
When Temple of Epiphany enters the battlefield, scry 1.
{T}: Add {U} or {R}.";;;0.33;0.69;2.61;2019
Solemn Simulacrum;;4;Artifact Creature;Golem;mrd;rare;"When Solemn Simulacrum enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle your library.
When Solemn Simulacrum dies, you may draw a card.";2;2;5.12;1.4;33.69;2003
Canker Abomination;BG;4;Creature;Treefolk Horror;eve;uncommon;As Canker Abomination enters the battlefield, choose an opponent. Canker Abomination enters the battlefield with a -1/-1 counter on it for each creature that player controls.;6;6;0.16;0.05;0.82;2008
Forest;G;0;Basic Land;Forest;m20;common;({T}: Add {G}.);;;0.09;0.14;0.19;2019
Taiga;GR;0;Land;Mountain Forest;2ed;rare;({T}: Add {R} or {G}.);;;450.0;273.33;;1993
Parallel Lives;G;4;Enchantment;;isd;rare;If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.;;;24.29;12.58;32.92;2011
Smite the Monstrous;W;4;Instant;;isd;common;Destroy target creature with power 4 or greater.;;;0.06;0.01;0.11;2011
Hour of Eternity;U;3;Sorcery;;hou;rare;Exile X target creature cards from your graveyard. For each card exiled this way, create a token that's a copy of that card, except it's a 4/4 black Zombie.;;;0.13;0.12;0.35;2017
Ghalta, Primal Hunger;G;12;Legendary Creature;Elder Dinosaur;rix;rare;"This spell costs {X} less to cast, where X is the total power of creatures you control.
Trample";12;12;4.52;4.19;9.72;2018
Dromad Purebred;W;5;Creature;Camel Beast;rav;common;Whenever Dromad Purebred is dealt damage, you gain 1 life.;1;5;0.13;0.01;;2005
Mutiny;R;1;Sorcery;;rix;common;Target creature an opponent controls deals damage equal to its power to another target creature that player controls.;;;0.1;0.02;0.21;2018
Vedalken Ghoul;BU;2;Creature;Vedalken Zombie;arb;common;Whenever Vedalken Ghoul becomes blocked, defending player loses 4 life.;1;1;0.17;0.13;0.36;2009
Jolrael, Empress of Beasts;G;5;Legendary Creature;Human Spellshaper;tsb;rare;{2}{G}, {T}, Discard two cards: All lands target player controls become 3/3 creatures until end of turn. They're still lands.;3;3;0.83;0.18;6.81;2006
Fleshgrafter;B;3;Creature;Human Warrior;5dn;common;Discard an artifact card: Fleshgrafter gets +2/+2 until end of turn.;2;2;0.05;0.02;0.20;2004
Spined Wurm;G;5;Creature;Wurm;9ed;common;;5;4;0.14;0.49;;2005
Dingus Egg;;4;Artifact;;5ed;rare;Whenever a land is put into a graveyard from the battlefield, Dingus Egg deals 2 damage to that land's controller.;;;0.33;0.3;;1997
Granite Gargoyle;R;3;Creature;Gargoyle;2ed;rare;"Flying
{R}: Granite Gargoyle gets +0/+1 until end of turn.";2;2;36.12;19.0;;1993
Twiddle;U;1;Instant;;4bb;common;You may tap or untap target artifact, creature, or land.;;;3.49;;;1995
Earwig Squad;B;5;Creature;Goblin Rogue;mor;rare;"Prowl {2}{B} (You may cast this for its prowl cost if you dealt combat damage to a player this turn with a Goblin or Rogue.)
When Earwig Squad enters the battlefield, if its prowl cost was paid, search target opponent's library for three cards and exile them. Then that player shuffles their library.";5;3;1.2;0.9;4.09;2008
Time Elemental;U;3;Creature;Elemental;5ed;rare;"When Time Elemental attacks or blocks, at end of combat, sacrifice it and it deals 5 damage to you.
{2}{U}{U}, {T}: Return target permanent that isn't enchanted to its owner's hand.";0;2;0.36;0.23;;1997
Vengeance;W;4;Sorcery;;7ed;uncommon;Destroy target tapped creature.;;;0.12;0.02;1.25;2001
Mangara, the Diplomat;W;4;Legendary Creature;Human Cleric;m21;mythic;"Lifelink
Whenever an opponent attacks with creatures, if two or more of those creatures are attacking you and/or planeswalkers you control, draw a card.
Whenever an opponent casts their second spell each turn, draw a card.";2;4;10.51;8.2;15.15;2020
Zombie Master;B;3;Creature;Zombie;4bb;rare;"Other Zombie creatures have swampwalk. (They can't be blocked as long as defending player controls a Swamp.)
Other Zombies have ""{B}: Regenerate this permanent.""";2;3;5.0;;;1995
Armored Pegasus;W;2;Creature;Pegasus;tmp;common;Flying;1;2;0.13;0.04;;1997
Lurking Informant;BU;2;Creature;Human Rogue;rav;common;"({U/B} can be paid with either {U} or {B}.)
{2}, {T}: Look at the top card of target player's library. You may put that card into that player's graveyard.";1;2;0.11;0.19;0.37;2005
Grove Rumbler;GR;4;Creature;Elemental;bfz;uncommon;"Trample
Landfall — Whenever a land enters the battlefield under your control, Grove Rumbler gets +2/+2 until end of turn.";3;3;0.1;0.06;0.31;2015
Unruly Mob;W;2;Creature;Human;soi;common;Whenever another creature you control dies, put a +1/+1 counter on Unruly Mob.;1;1;0.06;0.02;;2016
Shattered Angel;W;5;Creature;Angel;nph;uncommon;"Flying
Whenever a land enters the battlefield under an opponent's control, you may gain 3 life.";3;3;0.66;0.25;3.02;2011
Celestial Ancient;W;5;Creature;Elemental;dis;rare;"Flying
Whenever you cast an enchantment spell, put a +1/+1 counter on each creature you control.";3;3;0.56;0.25;7.00;2006
Verdurous Gearhulk;G;5;Artifact Creature;Construct;kld;mythic;"Trample
When Verdurous Gearhulk enters the battlefield, distribute four +1/+1 counters among any number of target creatures you control.";4;4;0.56;0.65;2.81;2016
Coastline Chimera;UW;4;Creature;Chimera;ths;common;"Flying
{1}{W}: Coastline Chimera can block an additional creature this turn.";1;5;0.08;0.02;0.20;2013
Garruk Wildspeaker;G;4;Legendary Planeswalker;Garruk;m11;mythic;"+1: Untap two target lands.
−1: Create a 3/3 green Beast creature token.
−4: Creatures you control get +3/+3 and gain trample until end of turn.";;;5.42;3.9;17.06;2010
Fierce Invocation;R;5;Sorcery;;frf;common;Manifest the top card of your library, then put two +1/+1 counters on it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.);;;0.06;0.01;;2015
Humble;W;2;Instant;;usg;uncommon;Until end of turn, target creature loses all abilities and has base power and toughness 0/1.;;;0.12;0.06;;1998
Ranger's Guile;G;1;Instant;;m15;common;Target creature you control gets +1/+1 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.);;;0.12;0.02;0.37;2014
Standing Troops;W;3;Creature;Human Soldier;8ed;common;Vigilance;1;4;0.04;0.02;;2003
Cremate;B;1;Instant;;rtr;common;"Exile target card from a graveyard.
Draw a card.";;;0.12;0.02;0.20;2012
Bog Wraith;B;4;Creature;Wraith;8ed;uncommon;Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.);3;3;0.09;0.02;;2003
Priest of Iroas;RW;1;Creature;Human Cleric;ths;common;{3}{W}, Sacrifice Priest of Iroas: Destroy target enchantment.;1;1;0.11;0.02;0.23;2013
Tiger Claws;G;3;Enchantment;Aura;mmq;common;"Flash
Enchant creature
Enchanted creature gets +1/+1 and has trample.";;;0.13;0.09;0.30;1999
Gliding Licid;U;3;Creature;Licid;sth;uncommon;"{U}, {T}: Gliding Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {U} to end this effect.
Enchanted creature has flying.";2;2;0.13;0.06;;1998
Index;U;1;Sorcery;;9ed;common;Look at the top five cards of your library, then put them back in any order.;;;0.19;0.66;;2005
Chainer's Edict;B;2;Sorcery;;tor;uncommon;"Target player sacrifices a creature.
Flashback {5}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)";;;1.9;1.0;12.83;2002
Plains;W;0;Basic Land;Plains;ody;common;({T}: Add {W}.);;;0.31;0.11;1.05;2001
